Date,Clicks,Impressions,CTR,Position
2026-01-22,0,13,0%,7.8
2026-01-23,0,12,0%,9.8
2026-01-24,0,9,0%,10.7
2026-01-25,1,6,16.67%,14.7
2026-01-26,0,30,0%,6.5
2026-01-27,0,10,0%,5.4
2026-01-28,2,15,13.33%,9.3
2026-01-29,1,18,5.56%,11
2026-01-30,2,24,8.33%,8
2026-01-31,1,20,5%,11.1
2026-02-01,1,10,10%,22
2026-02-02,0,22,0%,11.3
2026-02-03,1,23,4.35%,4.3
2026-02-04,0,12,0%,12.2
2026-02-05,1,26,3.85%,12.5
2026-02-06,2,57,3.51%,8.7
2026-02-07,1,27,3.7%,9.7
2026-02-08,0,14,0%,8.5
2026-02-09,0,14,0%,20.6
2026-02-10,0,21,0%,6.7
2026-02-11,0,21,0%,12
2026-02-12,0,15,0%,5.7
2026-02-13,1,19,5.26%,8.3
2026-02-14,0,6,0%,27
2026-02-15,2,62,3.23%,3
2026-02-16,2,20,10%,9.6
2026-02-17,0,6,0%,3.3
2026-02-18,0,15,0%,14.5
2026-02-19,1,16,6.25%,5
2026-02-20,1,17,5.88%,8.7
2026-02-21,1,17,5.88%,10.1
2026-02-22,0,12,0%,10.9
2026-02-23,1,23,4.35%,7.1
2026-02-24,0,21,0%,14.9
2026-02-25,0,32,0%,13.3
2026-02-26,0,20,0%,9.7
2026-02-27,1,40,2.5%,7.7
2026-02-28,1,28,3.57%,8
2026-03-01,0,8,0%,14.5
2026-03-02,1,13,7.69%,12.6
2026-03-03,1,21,4.76%,8.6
2026-03-04,1,9,11.11%,6.7
2026-03-05,0,18,0%,7.9
2026-03-06,1,18,5.56%,6.1
2026-03-07,1,25,4%,8.1
2026-03-08,0,8,0%,8.2
2026-03-09,0,13,0%,7.6
2026-03-10,0,18,0%,5.6
2026-03-11,1,29,3.45%,11.1
2026-03-12,0,25,0%,12.7
2026-03-13,0,33,0%,7.5
2026-03-14,0,18,0%,10.9
2026-03-15,0,18,0%,13.1
2026-03-16,2,23,8.7%,9.4
2026-03-17,1,40,2.5%,6.7
2026-03-18,2,11,18.18%,6
2026-03-19,0,20,0%,11
2026-03-20,0,18,0%,7.6
2026-03-21,0,16,0%,6.4
2026-03-22,0,11,0%,52.7
2026-03-23,0,13,0%,7.8
2026-03-24,0,19,0%,6.2
2026-03-25,1,27,3.7%,5.4
2026-03-26,1,18,5.56%,12.2
2026-03-27,0,39,0%,8.5
2026-03-28,1,19,5.26%,3.6
2026-03-29,0,14,0%,10.3
2026-03-30,2,21,9.52%,6
2026-03-31,1,28,3.57%,7.1
2026-04-01,1,38,2.63%,6.1
2026-04-02,1,25,4%,5.1
2026-04-03,2,27,7.41%,7.8
2026-04-04,0,71,0%,4.6
2026-04-05,1,9,11.11%,20.2
2026-04-06,0,46,0%,5.2
2026-04-07,0,22,0%,10.9
2026-04-08,2,25,8%,8.9
2026-04-09,0,21,0%,11
2026-04-10,0,18,0%,15.4
2026-04-11,0,22,0%,10.6
2026-04-12,0,24,0%,9.1
2026-04-13,0,14,0%,17.5
2026-04-14,0,16,0%,7.4
2026-04-15,0,33,0%,8.2
2026-04-16,0,36,0%,7.7
2026-04-17,0,33,0%,4.9
2026-04-18,0,20,0%,8.7
2026-04-19,0,17,0%,6.6
2026-04-20,0,27,0%,9.2
2026-04-21,0,20,0%,7.5
2026-04-22,1,15,6.67%,8.9
2026-04-23,1,20,5%,24.8
2026-04-24,2,15,13.33%,8.1
2026-04-25,2,35,5.71%,12.2
2026-04-26,0,14,0%,9.4
2026-04-27,0,31,0%,7.4
2026-04-28,1,12,8.33%,4.6
2026-04-29,0,14,0%,10.7
2026-04-30,3,32,9.38%,13.8
2026-05-01,2,22,9.09%,4.9
2026-05-02,1,19,5.26%,16.8
2026-05-03,1,15,6.67%,8.9
