Country,Clicks,Impressions,CTR,Position
United States,62,2068,3%,8.45
United Kingdom,0,15,0%,30.33
Vietnam,0,14,0%,17.43
Brazil,0,12,0%,4.83
Ireland,0,11,0%,43.55
Canada,0,10,0%,7.9
India,0,8,0%,11.75
Mexico,0,5,0%,5.2
Turkey,0,4,0%,5.5
Germany,0,4,0%,8.75
Ghana,0,4,0%,12.75
Philippines,0,3,0%,16.67
South Korea,0,2,0%,3.5
France,0,2,0%,6
Thailand,0,2,0%,10.5
Panama,0,2,0%,13.5
Australia,0,1,0%,3
Egypt,0,1,0%,3
Pakistan,0,1,0%,4
Hungary,0,1,0%,6
Sri Lanka,0,1,0%,7
Bangladesh,0,1,0%,8
Dominican Republic,0,1,0%,8
Moldova,0,1,0%,8
Netherlands,0,1,0%,9
Peru,0,1,0%,9
Singapore,0,1,0%,9
Costa Rica,0,1,0%,10
Italy,0,1,0%,10
Latvia,0,1,0%,10
Bahrain,0,1,0%,11
Chile,0,1,0%,12
Czechia,0,1,0%,16
Belgium,0,1,0%,17
Belarus,0,1,0%,17
Japan,0,1,0%,26
Indonesia,0,1,0%,30
Venezuela,0,1,0%,30
Colombia,0,1,0%,31
Kyrgyzstan,0,1,0%,40
South Africa,0,1,0%,98
Nigeria,0,1,0%,465
